type,category,date,title,review,star
SK매직 MWO-20MC9,별점,20210907,"아직 사용전이라,잘 모르겠지만, 후기평 보고 일단 구...","아직 사용전이라,잘 모르겠지만, 후기평 보고 일단 구매확정 합니다!
렌지에 돌려 머거야징",평점5
SK매직 MWO-20MC9,별점,20210113,아직까진 별 탈없이 마음에 듭니다 배송 빠르고 제품 좋아요,아직까진 별 탈없이 마음에 듭니다 배송 빠르고 제품 좋아요,평점5
SK매직 MWO-20MC9,별점,20210513,사용하기 너무간편하데요선물용으로 아주좋습니다,"사용하기 너무간편하데요
선물용으로 아주좋습니다",평점5
SK매직 MWO-20MC9,별점,20210904,일단 배송 빠르고 디자인 예뻐요.잘써봐야겠어요,"일단 배송 빠르고 디자인 예뻐요.
잘써봐야겠어요",평점4
SK매직 MWO-20MC9,별점,20210822,가성비최고 품질까지 짱!감사합니다,"가성비최고 품질까지 짱!
감사합니다",평점5
SK매직 MWO-20MC9,별점,20210830,깔끔한 디자인이라 좋았어요,깔끔한 디자인이라 좋았어요,평점5
SK매직 MWO-20MC9,별점,20210915,아주 만족합니다요.,아주 만족합니다요.,평점4
SK매직 MWO-20MC9,별점,20210904,빠른 배송 너무 좋아요 sk매직 전문 설치기사 방문 설치 추천요,빠른 배송 너무 좋아요 sk매직 전문 설치기사 방문 설치 추천요,평점5
SK매직 MWO-20MC9,별점,20210726,전자렌지,사이즈 적당하고 심플하니 이쁘네요.사용방법도 쉽고 만족합니다.,평점5
SK매직 MWO-20MC9,별점,20210506,사무실에서 사용하려고 샀는데 아담하고 좋아요.,사무실에서 사용하려고 샀는데 아담하고 좋아요.,평점5
SK매직 MWO-20MC9,별점,20210502,혼자 사시는 분에게는 적절합니다,혼자 사시는 분에게는 적절합니다,평점3
SK매직 MWO-20MC9,별점,20210426,가격대비 괜찮은 제품입니다,가격대비 괜찮은 제품입니다,평점3
SK매직 MWO-20MC9,별점,20210816,디자인도 성능도 좋아요,디자인도 성능도 좋아요,평점4
SK매직 MWO-20MC9,별점,20210428,잘 받았어요! 잘 쓸게요.,잘 받았어요! 잘 쓸게요.,평점5
SK매직 MWO-20MC9,별점,20210818,쓰기 편하고 좋습니다,쓰기 편하고 좋습니다,평점5
SK매직 MWO-20MC9,별점,20201223,빠른배송에 디자인도 이쁘고 원터치 다이얼이 정말 편하네요,빠른배송에 디자인도 이쁘고 원터치 다이얼이 정말 편하네요,평점5
SK매직 MWO-20MC9,별점,20210808,"포장도 잘되있고,배송도 빠르게 왔어요.작동도 잘되고,사용하기도 편리하네요.","포장도 잘되있고,배송도 빠르게 왔어요.작동도 잘되고,사용하기도 편리하네요.",평점5
SK매직 MWO-20MC9,별점,20210421,잘사용중 아주좋네요,잘사용중 아주좋네요,평점5
SK매직 MWO-20MC9,별점,20210812,가성비 좋아요,가성비 좋아요,평점5
SK매직 MWO-20MC9,별점,20210810,잘받았어요,잘밭았는데 상품은 완전옛날거에요 타임도 안나오고 딱 가격만큼 하는거네요,평점1
SK매직 MWO-20MC9,별점,20210730,"깔끔하고 세련된 디자인에, 사용이 간편해서 좋아요.","깔끔하고 세련된 디자인에, 사용이 간편해서 좋아요.",평점5
SK매직 MWO-20MC9,별점,20201214,외갓집에 선물로 드렸는데 좋아하시네요:),외갓집에 선물로 드렸는데 좋아하시네요:),평점5
SK매직 MWO-20MC9,별점,20210414,배송 좋고 사용전이지만 좋아 보여요,배송 좋고 사용전이지만 좋아 보여요,평점5
SK매직 MWO-20MC9,별점,20210803,그럭저럭 급하게 쓸만해요,그럭저럭 급하게 쓸만해요,평점3
SK매직 MWO-20MC9,별점,20210811,무난한게 좋아요,무난한게 좋아요,평점5
SK매직 MWO-20MC9,별점,20210723,이쁘네요~~,이쁘네요~~,평점5
SK매직 MWO-20MC9,별점,20210215,잘쓰고 있어여~타이머가 돌돌이긴 하지만 편하긴편해요.강도도 중으로 하고 쓰는데 빨리 데워지고 굿입니다.사이즈도 아담하니 청소도 쉽구요!^^,"잘쓰고 있어여~타이머가 돌돌이긴 하지만 편하긴편해요.
강도도 중으로 하고 쓰는데 빨리 데워지고 굿입니다.
사이즈도 아담하니 청소도 쉽구요!^^",평점5
SK매직 MWO-20MC9,별점,20210713,자취용 선물로 보냈어요.문을 열면 불이 들어오지 않아 처음엔 당황했어요.고장이 아니라 원래 그렇다네요.크지 않고 단순한 기능을 원하시면 사용 괜찮은듯 해요.,"자취용 선물로 보냈어요.
문을 열면 불이 들어오지 않아 처음엔 당황했어요.
고장이 아니라 원래 그렇다네요.
크지 않고 단순한 기능을 원하시면 사용 괜찮은듯 해요.",평점5
SK매직 MWO-20MC9,별점,20210702,아기자기 예쁘네요 소음은 좀 있는거같아요,아기자기 예쁘네요 소음은 좀 있는거같아요,평점5
SK매직 MWO-20MC9,별점,20210727,품질이 너무너무 좋아요,품질이 너무너무 좋아요,평점5
SK매직 MWO-20MC9,별점,20210727,좋아요,아직사용전입니다 직동은 되겟죠~,평점4
